,Player,Yr,Height,GS,MP,3P,3P%,2P,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Cluster,Distance
0,Kareem Abdul-Jabbar,1980,86,47.0,2794.4,0.0,0.0,772.4,0.5852,447.0,0.7418,179.0,530.0,255.8,63.8,205.6,239.4,1877.2,1,3.8417967753268516
3,Tiny Archibald,1980,73,53.6,2140.0,3.8,0.20539999999999997,285.0,0.48179999999999995,313.4,0.7539999999999999,32.2,99.0,479.8,60.8,7.0,185.2,826.0,0,2.7199044817644644
7,Greg Ballard,1981,79,63.2,2752.2,9.0,0.2832,541.4,0.47940000000000005,214.2,0.8102,143.2,404.8,241.0,116.8,30.8,128.2,1283.6,0,2.733449136428256
17,Larry Bird,1981,81,74.6,3066.6,25.4,0.28840000000000005,745.2,0.5104,400.8,0.8671999999999999,185.8,662.2,481.4,145.0,73.4,253.6,1914.4,3,3.4998987446458214
45,Bill Cartwright,1980,85,41.8,2618.0,0.0,0.0,516.4,0.558,486.8,0.7794000000000001,170.2,429.6,121.2,45.8,94.6,198.4,1412.8,1,2.308583832090106
48,Maurice Cheeks,1984,73,76.4,2775.0,5.0,0.2474,423.2,0.543,266.6,0.8112,51.8,173.2,580.2,178.8,21.6,181.6,1077.6,0,3.5746692951379098
55,Wayne Cooper,1982,82,58.4,1944.4,0.8,0.11080000000000001,345.4,0.4544,208.2,0.7426000000000001,201.8,373.8,94.8,32.0,154.4,125.2,848.0,2,2.294103128294855
57,Dave Corzine,1981,83,44.8,2276.2,0.8,0.1166,363.2,0.4932,237.0,0.7529999999999999,196.2,399.6,148.6,42.4,103.6,159.4,908.0,2,1.4297465385303862
59,Dave Cowens,1980,81,44.5,1586.5,0.5,0.0415,278.5,0.45249999999999996,92.5,0.802,99.5,304.5,144.0,49.5,38.0,76.0,632.0,2,2.9517847138461155
62,Pat Cummings,1981,81,44.2,1818.8,0.0,0.0,352.4,0.5117999999999999,168.8,0.744,134.6,341.6,114.4,44.8,20.6,139.2,831.2,2,1.8888638330677165
65,Brad Davis,1982,75,73.2,2422.4,22.2,0.29900000000000004,313.4,0.5544,218.8,0.8482,35.0,155.0,536.6,79.0,11.0,140.2,878.6,0,2.9472471744781887
69,Darryl Dawkins,1980,83,70.6,2052.6,0.4,0.08,406.0,0.5786,296.0,0.6898,131.4,369.4,110.0,46.6,119.4,211.6,1019.2,2,2.821153209032227
78,T.R. Dunn,1982,76,79.4,2511.0,0.0,0.0,206.6,0.483,145.4,0.7340000000000001,189.8,312.2,185.8,150.0,24.6,89.8,519.2,2,3.5642771823996067
