,Player,Drafted,DraftedBy,FirstTeam,DraftYear,College,Height,HOF
0,Curly Armstrong,0,N/A,N/A,0,0.0,0,0
1,Cliff Barker,0,N/A,N/A,0,0.0,0,0
2,Leo Barnhorst,0,N/A,N/A,0,0.0,0,0
3,Ed Bartels,0,N/A,N/A,0,0.0,0,0
4,Ralph Beard,0,N/A,N/A,0,0.0,0,0
5,Gene Berce,0,N/A,N/A,0,0.0,0,0
6,Charlie Black,0,N/A,N/A,0,0.0,0,0
7,Nelson Bobb,0,N/A,N/A,0,0.0,0,0
8,Jake Bornheimer,0,N/A,N/A,0,0.0,0,0
9,Vince Boryla,0,N/A,N/A,0,0.0,0,0
10,Don Boven,0,N/A,N/A,0,0.0,0,0
11,Harry Boykoff,0,N/A,N/A,0,0.0,0,0
12,Joe Bradley,0,N/A,N/A,0,0.0,0,0
13,Bob Brannum,0,N/A,N/A,0,0.0,0,0
14,Carl Braun,0,N/A,N/A,0,0.0,0,1
15,Frankie Brian,0,N/A,N/A,0,0.0,0,0
16,Price Brookfield,0,N/A,N/A,0,0.0,0,0
17,Bob Brown,81,PHW,N/A,1952,Louisville,0,0
18,Jim Browne,0,N/A,N/A,0,0.0,0,0
19,Walt Budko,0,N/A,N/A,0,0.0,0,0
20,Jack Burmaster,0,N/A,N/A,0,0.0,0,0
21,Tommy Byrnes,0,N/A,N/A,0,0.0,0,0
22,Bill Calhoun,0,N/A,N/A,0,0.0,0,0
23,Don Carlson,0,N/A,N/A,0,0.0,0,0
24,Bob Carpenter,0,N/A,N/A,0,0.0,0,0
25,Jake Carter,0,N/A,N/A,0,0.0,0,0
26,Al Cervi,0,N/A,N/A,0,0.0,0,1
27,John Chaney,0,N/A,N/A,0,0.0,0,0
28,Leroy Chollet,0,N/A,N/A,0,0.0,0,0
29,Bill Closs,0,N/A,N/A,0,0.0,0,0
30,Paul Cloyd,0,N/A,N/A,0,0.0,0,0
31,Jack Coleman,0,N/A,N/A,0,0.0,0,0
32,Bobby Cook,0,N/A,N/A,0,0.0,0,0
33,Ray Corley,0,N/A,N/A,0,0.0,0,0
34,Jack Cotton,0,N/A,N/A,0,0.0,0,0
35,Dillard Crocker,0,N/A,N/A,0,0.0,0,0
36,Chink Crossin,0,N/A,N/A,0,0.0,0,0
37,Fran Curran,0,N/A,N/A,0,0.0,0,0
38,Jimmy Darden,0,N/A,N/A,0,0.0,0,0
39,Bob Davies,0,N/A,N/A,0,0.0,0,1
40,Hook Dillon,0,N/A,N/A,0,0.0,0,0
41,Earl Dodd,0,N/A,N/A,0,0.0,0,0
42,Joe Dolhon,0,N/A,N/A,0,0.0,0,0
43,Bob Doll,0,N/A,N/A,0,0.0,0,0
44,Harry Donovan,0,N/A,N/A,0,0.0,0,0
45,Andy Duncan,0,N/A,N/A,0,0.0,0,0
46,Dike Eddleman,0,N/A,N/A,0,0.0,0,0
47,Gene Englund,0,N/A,N/A,0,0.0,0,0
48,Bob Evans,154,UTA,N/A,1984,Southern Utah University,0,0
49,Johnny Ezersky,0,N/A,N/A,0,0.0,0,0
50,Bob Feerick,0,N/A,N/A,0,0.0,0,0
51,George Feigenbaum,0,N/A,N/A,0,0.0,0,0
52,Arnie Ferrin,0,N/A,N/A,0,0.0,0,0
53,Jerry Fleishman,0,N/A,N/A,0,0.0,0,0
54,Joe Fulks,0,N/A,N/A,0,0.0,0,1
55,Bill Gabor,0,N/A,N/A,0,0.0,0,0
56,Elmer Gainer,0,N/A,N/A,0,0.0,0,0
57,Harry Gallatin,0,N/A,N/A,0,0.0,0,1
58,Vern Gardner,0,N/A,N/A,0,0.0,0,0
59,Frank Gates,0,N/A,N/A,0,0.0,0,0
60,Dee Gibson,0,N/A,N/A,0,0.0,0,0
61,Hoot Gibson,0,N/A,N/A,0,0.0,0,0
62,Chuck Gilmur,0,N/A,N/A,0,0.0,0,0
63,Normie Glick,0,N/A,N/A,0,0.0,0,0
64,Paul Gordon,0,N/A,N/A,0,0.0,0,0
65,Joe Graboski,0,N/A,N/A,0,0.0,0,0
66,Bud Grant,42,MNL,N/A,1950,Minnesota,0,0
67,Don Grate,0,N/A,N/A,0,0.0,0,0
68,Alex Groza,0,N/A,N/A,0,0.0,0,0
69,Al Guokas,0,N/A,N/A,0,0.0,0,0
70,Robert Hahn,0,N/A,N/A,0,0.0,0,0
71,Chick Halbert,0,N/A,N/A,0,0.0,0,0
72,Bruce Hale,0,N/A,N/A,0,0.0,0,0
73,Dale Hamilton,0,N/A,N/A,0,0.0,0,0
74,Alex Hannum,0,N/A,N/A,0,0.0,0,0
75,John Hargis,0,N/A,N/A,0,0.0,0,0
76,Bob Harris,0,N/A,N/A,0,0.0,0,0
77,Bob Harrison,0,N/A,N/A,0,0.0,0,0
78,Billy Hassett,0,N/A,N/A,0,0.0,0,0
79,Marshall Hawkins,0,N/A,N/A,0,0.0,0,0
80,Bill Henry,0,N/A,N/A,0,0.0,0,0
81,Bill Herman,0,N/A,N/A,0,0.0,0,0
82,Kleggie Hermsen,0,N/A,N/A,0,0.0,0,0
83,Sonny Hertzberg,0,N/A,N/A,0,0.0,0,0
84,Paul Hoffman,189,BUF,N/A,1972,St. Bonaventure,0,0
85,Joe Holland,0,N/A,N/A,0,0.0,0,0
86,Red Holzman,0,N/A,N/A,0,0.0,0,0
87,Gene James,0,N/A,N/A,0,0.0,0,0
88,Howie Janotta,0,N/A,N/A,0,0.0,0,0
89,Tony Jaros,0,N/A,N/A,0,0.0,0,0
90,Buddy Jeannette,0,N/A,N/A,0,0.0,0,0
91,Arnie Johnson,0,N/A,N/A,0,0.0,0,0
92,Ralph Johnson,0,N/A,N/A,0,0.0,0,0
93,Wah Wah Jones,0,N/A,N/A,0,0.0,0,0
94,Noble Jorgensen,0,N/A,N/A,0,0.0,0,0
95,George Kaftan,0,N/A,N/A,0,0.0,0,0
96,Leo Katkaveck,0,N/A,N/A,0,0.0,0,0
97,Jack Kerris,0,N/A,N/A,0,0.0,0,0
98,Bob Kinney,0,N/A,N/A,0,0.0,0,0
99,Walt Kirk,0,N/A,N/A,0,0.0,0,0
100,Leo Klier,0,N/A,N/A,0,0.0,0,0
101,Duane Klueh,0,N/A,N/A,0,0.0,0,0
102,Lee Knorek,0,N/A,N/A,0,0.0,0,0
103,Milo Komenich,0,N/A,N/A,0,0.0,0,0
104,Leo Kubiak,0,N/A,N/A,0,0.0,0,0
105,Frank Kudelka,0,N/A,N/A,0,0.0,0,0
106,Walt Lautenbach,0,N/A,N/A,0,0.0,0,0
107,Tony Lavelli,0,N/A,N/A,0,0.0,0,0
108,Ed Leede,0,N/A,N/A,0,0.0,0,0
109,Andrew Levane,0,N/A,N/A,0,0.0,0,0
110,Freddie Lewis,88,CIN,N/A,1966,Arizona State,0,0
111,Ron Livingstone,0,N/A,N/A,0,0.0,0,0
112,John Logan,0,N/A,N/A,0,0.0,0,0
113,Ray Lumpp,0,N/A,N/A,0,0.0,0,0
