i,MVP,DPOY,Year
0,N/A,N/A,1950
1,N/A,N/A,1951
2,N/A,N/A,1952
3,N/A,N/A,1953
4,N/A,N/A,1954
5,N/A,N/A,1955
6,Bob Pettit,N/A,1956
7,Bob Cousy,N/A,1957
8,Bill Russell,N/A,1958
9,Bob Pettit,N/A,1959
10,Wilt Chamberlain,N/A,1960
11,Bill Russell,N/A,1961
12,Bill Russell,N/A,1962
13,Bill Russell,N/A,1963
14,Oscar Robertson,N/A,1964
15,Bill Russell,N/A,1965
16,Wilt Chamberlain,N/A,1966
17,Wilt Chamberlain,N/A,1967
18,Wilt Chamberlain,N/A,1968
19,Wes Unseld,N/A,1969
20,Willis Reed,N/A,1970
21,Kareem Abdul-Jabbar,N/A,1971
22,Kareem Abdul-Jabbar,N/A,1972
23,Dave Cowens,N/A,1973
24,Kareem Abdul-Jabbar,N/A,1974
25,Bob McAdoo,N/A,1975
26,Kareem Abdul-Jabbar,N/A,1976
27,Kareem Abdul-Jabbar,N/A,1977
28,Bill Walton,N/A,1978
29,Moses Malone,N/A,1979
30,Kareem Abdul-Jabbar,N/A,1980
31,Julius Erving,N/A,1981
32,Moses Malone,N/A,1982
33,Moses Malone,Sidney Moncrief,1983
34,Larry Bird,Sidney Moncrief,1984
35,Larry Bird,Mark Eaton,1985
36,Larry Bird,Alvin Robertson,1986
37,Magic Johnson,Michael Cooper,1987
38,Michael Jordan,Michael Jordan,1988
39,Magic Johnson,Mark Eaton,1989
40,Magic Johnson,Dennis Rodman,1990
41,Michael Jordan,Dennis Rodman,1991
42,Michael Jordan,David Robinson,1992
43,Charles Barkley,Hakeem Olajuwon,1993
44,Hakeem Olajuwon,Hakeem Olajuwon,1994
45,David Robinson,Dikembe Mutombo,1995
46,Michael Jordan,Gary Payton,1996
47,Karl Malone,Dikembe Mutombo,1997
48,Michael Jordan,Dikembe Mutombo,1998
49,Karl Malone,Alonzo Mourning,1999
50,Shaquille O'Neal,Alonzo Mourning,2000
51,Allen Iverson,Dikembe Mutombo,2001
52,Tim Duncan,Ben Wallace,2002
53,Tim Duncan,Ben Wallace,2003
54,Kevin Garnett,Metta World Peace,2004
55,Steve Nash,Ben Wallace,2005
56,Steve Nash,Ben Wallace,2006
57,Dirk Nowitzki,Marcus Camby,2007
58,Kobe Bryant,Kevin Garnett,2008
59,LeBron James,Dwight Howard,2009
60,LeBron James,Dwight Howard,2010
61,Derrick Rose,Dwight Howard,2011
62,LeBron James,Tyson Chandler,2012
63,LeBron James,Marc Gasol,2013
64,Kevin Durant,Joakim Noah,2014
65,Stephen Curry,Kawhi Leonard,2015
66,Stephen Curry,Kawhi Leonard,2016
67,Russell Westbrook,Draymond Green,2017
68,James Harden,Rudy Gobert,2018
69,Giannis Antetokounmpo,Rudy Gobert,2019
70,Giannis Antetokounmpo,Giannis Antetokounmpo,2020
