,Year,Winner,RunnerUp,Rest,FMVP
0,2020,LAL,MIA,DEN BOS LAC HOU TOR MIL UTA OKC DAL ORL POR BRK IND PHI ,LeBron James
1,2019,TOR,GSW,POR MIL DEN PHI HOU BOS SAS LAC BRK OKC UTA ORL DET IND ,Kawhi Leonard
2,2018,GSW,CLE,BOS HOU UTA PHI TOR NOP MIL IND WAS OKC MIA MIN SAS POR ,Kevin Durant
3,2017,GSW,CLE,BOS SAS WAS HOU UTA TOR LAC ATL CHI MEM MIL OKC IND POR ,Kevin Durant
4,2016,CLE,GSW,OKC TOR MIA POR SAS ATL IND CHH LAC BOS DAL HOU DET MEM ,LeBron James
5,2015,GSW,CLE,HOU ATL LAC CHI MEM WAS SAS BRK DAL MIL POR NOP TOR BOS ,Andre Iguodala
6,2014,SAS,MIA,OKC IND LAC POR BRK WAS GSW DAL MEM TOR HOU ATL CHI CHH ,Kawhi Leonard
7,2013,MIA,SAS,IND MEM GSW CHI OKC NYK BRK DEN HOU LAC ATL BOS LAL MIL ,LeBron James
8,2012,MIA,OKC,BOS SAS LAL PHI IND LAC DEN MEM CHI ATL ORL NYK DAL UTA ,LeBron James
9,2011,DAL,MIA,OKC CHI MEM ATL LAL BOS SAS NOH ORL POR DEN IND PHI NYK ,Dirk Nowitzki
10,2010,LAL,BOS,PHO ORL CLE UTA ATL SAS DEN MIL OKC POR DAL CHI MIA CHA ,Kobe Bryant
11,2009,LAL,ORL,DEN BOS CLE HOU DAL ATL CHI MIA PHI POR UTA SAS NOH DET ,Kobe Bryant
12,2008,BOS,LAL,SAS DET UTA CLE NOH ORL ATL WAS HOU PHI PHO TOR DAL DEN ,Paul Pierce
13,2007,SAS,CLE,UTA DET GSW PHO NJN CHI HOU DAL TOR LAL DEN WAS MIA ORL ,Tony Parker
14,2006,MIA,DAL,PHO DET SAS LAC CLE NJN LAL WAS CHI SAC IND MIL DEN MEM ,Dwyane Wade
15,2005,SAS,DET,PHO MIA DAL IND SEA WAS HOU CHI BOS SAC PHI DEN MEM NJN ,Tim Duncan
16,2004,DET,LAL,MIN IND SAC MIA NJN SAS NOH DAL DEN MIL HOU BOS NYK MEM ,Chauncey Billups
17,2003,SAS,NJN,DAL DET SAC LAL PHI BOS POR ORL MIN MIL NOH IND PHO UTA ,Tim Duncan
18,2002,LAL,NJN,SAC BOS SAS DAL CHH DET IND PHI SEA TOR ORL UTA MIN POR ,Shaquille O'Neal
19,2001,LAL,PHI,MIL SAS TOR CHH DAL SAC UTA NYK ORL PHO IND MIN POR MIA ,Shaquille O'Neal
