,Year,Player,Team,League
0,2019-20,Giannis Antetokounmpo,1,NBA
0,2019-20,Anthony Davis,1,NBA
0,2019-20,Ben Simmons,1,NBA
0,2019-20,Rudy Gobert,1,NBA
0,2019-20,Marcus Smart,1,NBA
0,2019-20,Kawhi Leonard,2,NBA
0,2019-20,Brook Lopez,2,NBA
0,2019-20,Bam Adebayo,2,NBA
0,2019-20,Patrick Beverley,2,NBA
0,2019-20,Eric Bledsoe,2,NBA
0,2018-19,Rudy Gobert,1,NBA
0,2018-19,Paul George,1,NBA
0,2018-19,Giannis Antetokounmpo,1,NBA
0,2018-19,Marcus Smart,1,NBA
0,2018-19,Eric Bledsoe,1,NBA
0,2018-19,Jrue Holiday,2,NBA
0,2018-19,Klay Thompson,2,NBA
0,2018-19,Joel Embiid,2,NBA
0,2018-19,Draymond Green,2,NBA
0,2018-19,Kawhi Leonard,2,NBA
0,2017-18,Rudy Gobert,1,NBA
0,2017-18,Anthony Davis,1,NBA
0,2017-18,Victor Oladipo,1,NBA
0,2017-18,Robert Covington,1,NBA
0,2017-18,Jrue Holiday,1,NBA
0,2017-18,Joel Embiid,2,NBA
0,2017-18,Draymond Green,2,NBA
0,2017-18,Al Horford,2,NBA
0,2017-18,Dejounte Murray,2,NBA
0,2017-18,Jimmy Butler,2,NBA
0,2016-17,Kawhi Leonard,1,NBA
0,2016-17,Draymond Green,1,NBA
0,2016-17,Rudy Gobert,1,NBA
0,2016-17,Patrick Beverley,1,NBA
0,2016-17,Chris Paul,1,NBA
0,2016-17,Tony Allen,2,NBA
0,2016-17,Danny Green,2,NBA
0,2016-17,Andre Roberson,2,NBA
0,2016-17,Anthony Davis,2,NBA
0,2016-17,Giannis Antetokounmpo,2,NBA
0,2015-16,Kawhi Leonard,1,NBA
0,2015-16,Draymond Green,1,NBA
0,2015-16,DeAndre Jordan,1,NBA
0,2015-16,Avery Bradley,1,NBA
0,2015-16,Chris Paul,1,NBA
0,2015-16,Paul Millsap,2,NBA
0,2015-16,Paul George,2,NBA
