,Year,Player,Team,League
0,2019-20,Anthony Davis,1,NBA
0,2019-20,Giannis Antetokounmpo,1,NBA
0,2019-20,LeBron James,1,NBA
0,2019-20,James Harden,1,NBA
0,2019-20,Luka Dončić,1,NBA
0,2019-20,Nikola Jokić,2,NBA
0,2019-20,Kawhi Leonard,2,NBA
0,2019-20,Pascal Siakam,2,NBA
0,2019-20,Damian Lillard,2,NBA
0,2019-20,Chris Paul,2,NBA
0,2019-20,Rudy Gobert,3,NBA
0,2019-20,Jayson Tatum,3,NBA
0,2019-20,Jimmy Butler,3,NBA
0,2019-20,Ben Simmons,3,NBA
0,2019-20,Russell Westbrook,3,NBA
0,2018-19,Nikola Jokić,1,NBA
0,2018-19,Giannis Antetokounmpo,1,NBA
0,2018-19,Paul George,1,NBA
0,2018-19,James Harden,1,NBA
0,2018-19,Stephen Curry,1,NBA
0,2018-19,Joel Embiid,2,NBA
0,2018-19,Kevin Durant,2,NBA
0,2018-19,Kawhi Leonard,2,NBA
0,2018-19,Damian Lillard,2,NBA
0,2018-19,Kyrie Irving,2,NBA
0,2018-19,Rudy Gobert,3,NBA
0,2018-19,LeBron James,3,NBA
0,2018-19,Blake Griffin,3,NBA
0,2018-19,Kemba Walker,3,NBA
0,2018-19,Russell Westbrook,3,NBA
0,2017-18,Anthony Davis,1,NBA
0,2017-18,LeBron James,1,NBA
0,2017-18,Kevin Durant,1,NBA
0,2017-18,Damian Lillard,1,NBA
0,2017-18,James Harden,1,NBA
0,2017-18,Joel Embiid,2,NBA
0,2017-18,Giannis Antetokounmpo,2,NBA
0,2017-18,LaMarcus Aldridge,2,NBA
0,2017-18,Russell Westbrook,2,NBA
0,2017-18,DeMar DeRozan,2,NBA
0,2017-18,Karl-Anthony Towns,3,NBA
0,2017-18,Jimmy Butler,3,NBA
0,2017-18,Paul George,3,NBA
0,2017-18,Stephen Curry,3,NBA
0,2017-18,Victor Oladipo,3,NBA
0,2016-17,Anthony Davis,1,NBA
0,2016-17,LeBron James,1,NBA
0,2016-17,Kawhi Leonard,1,NBA
0,2016-17,James Harden,1,NBA
0,2016-17,Russell Westbrook,1,NBA
0,2016-17,Rudy Gobert,2,NBA
0,2016-17,Giannis Antetokounmpo,2,NBA
0,2016-17,Kevin Durant,2,NBA
0,2016-17,Stephen Curry,2,NBA
0,2016-17,Isaiah Thomas,2,NBA
0,2016-17,DeAndre Jordan,3,NBA
0,2016-17,Draymond Green,3,NBA
0,2016-17,Jimmy Butler,3,NBA
0,2016-17,John Wall,3,NBA
0,2016-17,DeMar DeRozan,3,NBA
0,2015-16,DeAndre Jordan,1,NBA
0,2015-16,LeBron James,1,NBA
0,2015-16,Kawhi Leonard,1,NBA
0,2015-16,Stephen Curry,1,NBA
0,2015-16,Russell Westbrook,1,NBA
0,2015-16,DeMarcus Cousins,2,NBA
0,2015-16,Kevin Durant,2,NBA
0,2015-16,Draymond Green,2,NBA
0,2015-16,Chris Paul,2,NBA
0,2015-16,Damian Lillard,2,NBA
0,2015-16,Andre Drummond,3,NBA
0,2015-16,Paul George,3,NBA
0,2015-16,LaMarcus Aldridge,3,NBA
0,2015-16,Klay Thompson,3,NBA
0,2015-16,Kyle Lowry,3,NBA
0,2014-15,Marc Gasol,1,NBA
0,2014-15,LeBron James,1,NBA
0,2014-15,Anthony Davis,1,NBA
0,2014-15,Stephen Curry,1,NBA
0,2014-15,James Harden,1,NBA
0,2014-15,DeMarcus Cousins,2,NBA
0,2014-15,Pau Gasol,2,NBA
0,2014-15,LaMarcus Aldridge,2,NBA
0,2014-15,Russell Westbrook,2,NBA
0,2014-15,Chris Paul,2,NBA
0,2014-15,DeAndre Jordan,3,NBA
0,2014-15,Blake Griffin,3,NBA
0,2014-15,Tim Duncan,3,NBA
0,2014-15,Klay Thompson,3,NBA
0,2014-15,Kyrie Irving,3,NBA
0,2013-14,Joakim Noah,1,NBA
0,2013-14,Kevin Durant,1,NBA
0,2013-14,LeBron James,1,NBA
0,2013-14,James Harden,1,NBA
0,2013-14,Chris Paul,1,NBA
0,2013-14,Dwight Howard,2,NBA
0,2013-14,Blake Griffin,2,NBA
0,2013-14,Kevin Love,2,NBA
0,2013-14,Stephen Curry,2,NBA
0,2013-14,Tony Parker,2,NBA
0,2013-14,Al Jefferson,3,NBA
0,2013-14,Paul George,3,NBA
0,2013-14,LaMarcus Aldridge,3,NBA
0,2013-14,Goran Dragić,3,NBA
0,2013-14,Damian Lillard,3,NBA
0,2012-13,Tim Duncan,1,NBA
0,2012-13,Kevin Durant,1,NBA
0,2012-13,LeBron James,1,NBA
0,2012-13,Kobe Bryant,1,NBA
0,2012-13,Chris Paul,1,NBA
0,2012-13,Marc Gasol,2,NBA
0,2012-13,Carmelo Anthony,2,NBA
0,2012-13,Blake Griffin,2,NBA
0,2012-13,Tony Parker,2,NBA
0,2012-13,Russell Westbrook,2,NBA
0,2012-13,Dwight Howard,3,NBA
0,2012-13,Paul George,3,NBA
0,2012-13,David Lee,3,NBA
0,2012-13,James Harden,3,NBA
0,2012-13,Dwyane Wade,3,NBA
0,2011-12,Dwight Howard,1,NBA
0,2011-12,Kevin Durant,1,NBA
0,2011-12,LeBron James,1,NBA
0,2011-12,Kobe Bryant,1,NBA
0,2011-12,Chris Paul,1,NBA
0,2011-12,Andrew Bynum,2,NBA
0,2011-12,Blake Griffin,2,NBA
0,2011-12,Kevin Love,2,NBA
0,2011-12,Tony Parker,2,NBA
0,2011-12,Russell Westbrook,2,NBA
0,2011-12,Tyson Chandler,3,NBA
0,2011-12,Carmelo Anthony,3,NBA
0,2011-12,Dirk Nowitzki,3,NBA
0,2011-12,Rajon Rondo,3,NBA
0,2011-12,Dwyane Wade,3,NBA
0,2010-11,Dwight Howard,1,NBA
0,2010-11,Kevin Durant,1,NBA
0,2010-11,LeBron James,1,NBA
0,2010-11,Kobe Bryant,1,NBA
0,2010-11,Derrick Rose,1,NBA
0,2010-11,Amar'e Stoudemire,2,NBA
0,2010-11,Pau Gasol,2,NBA
0,2010-11,Dirk Nowitzki,2,NBA
0,2010-11,Dwyane Wade,2,NBA
0,2010-11,Russell Westbrook,2,NBA
0,2010-11,Al Horford,3,NBA
0,2010-11,LaMarcus Aldridge,3,NBA
0,2010-11,Zach Randolph,3,NBA
0,2010-11,Manu Ginóbili,3,NBA
0,2010-11,Chris Paul,3,NBA
0,2009-10,Dwight Howard,1,NBA
0,2009-10,Kevin Durant,1,NBA
0,2009-10,LeBron James,1,NBA
0,2009-10,Kobe Bryant,1,NBA
0,2009-10,Dwyane Wade,1,NBA
0,2009-10,Amar'e Stoudemire,2,NBA
0,2009-10,Carmelo Anthony,2,NBA
0,2009-10,Dirk Nowitzki,2,NBA
0,2009-10,Steve Nash,2,NBA
0,2009-10,Deron Williams,2,NBA
0,2009-10,Andrew Bogut,3,NBA
0,2009-10,Tim Duncan,3,NBA
0,2009-10,Pau Gasol,3,NBA
0,2009-10,Joe Johnson,3,NBA
0,2009-10,Brandon Roy,3,NBA
0,2008-09,Dwight Howard,1,NBA
0,2008-09,LeBron James,1,NBA
0,2008-09,Dirk Nowitzki,1,NBA
0,2008-09,Kobe Bryant,1,NBA
0,2008-09,Dwyane Wade,1,NBA
0,2008-09,Yao Ming,2,NBA
0,2008-09,Tim Duncan,2,NBA
0,2008-09,Paul Pierce,2,NBA
0,2008-09,Chris Paul,2,NBA
0,2008-09,Brandon Roy,2,NBA
0,2008-09,Shaquille O'Neal,3,NBA
0,2008-09,Carmelo Anthony,3,NBA
0,2008-09,Pau Gasol,3,NBA
0,2008-09,Chauncey Billups,3,NBA
0,2008-09,Tony Parker,3,NBA
0,2007-08,Dwight Howard,1,NBA
0,2007-08,Kevin Garnett,1,NBA
0,2007-08,LeBron James,1,NBA
0,2007-08,Kobe Bryant,1,NBA
0,2007-08,Chris Paul,1,NBA
0,2007-08,Amar'e Stoudemire,2,NBA
0,2007-08,Tim Duncan,2,NBA
0,2007-08,Dirk Nowitzki,2,NBA
0,2007-08,Steve Nash,2,NBA
0,2007-08,Deron Williams,2,NBA
0,2007-08,Yao Ming,3,NBA
0,2007-08,Carlos Boozer,3,NBA
0,2007-08,Paul Pierce,3,NBA
0,2007-08,Manu Ginóbili,3,NBA
