,Year,Player,Team,Ovr,College
0,1950,Paul Arizin,PHW,1,Villanova
0,1950,Chuck Share,BOS,2,Bowling Green
0,1950,Don Rehfeldt,BLB,3,Wisconsin
0,1950,Bob Cousy,TRI,4,Holy Cross
0,1950,Dick Schnittker,WSC,5,Ohio State
0,1950,Larry Foust,CHS,6,La Salle
0,1950,Irwin Dambrot,NYK,7,City College of New York
0,1950,George Yardley,FTW,8,Stanford
0,1950,Bob Lavoy,INO,9,Western Kentucky
0,1950,Joe McNamee,ROC,10,San Francisco
0,1950,Kevin O'Shea,MNL,11,Notre Dame
0,1950,Don Lofgran,SYR,12,San Francisco
0,1950,John Pilch,BLB,13,Wyoming
0,1950,Chuck Cooper,BOS,14,Duquesne
0,1950,Wally Osterkorn,CHS,15,Illinois
0,1950,Jim Riffey,FTW,16,Tulane
0,1950,Paul Unruh,INO,17,Bradley
0,1950,Hal Haskins,MNL,18,Hamline University
0,1950,Herb Scherer,NYK,19,Long Island University
0,1950,Ed Dahler,PHW,20,Duquesne
0,1950,George Stanich,ROC,21,UCLA
0,1950,Gerry Calabrese,SYR,22,St. John's
0,1950,Ed Gayda,TRI,23,Washington State
0,1950,Bill Sharman,WSC,24,USC
0,1950,Dick Dickey,BLB,25,NC State
0,1950,Bob Donham,BOS,26,Ohio State
0,1950,Lou Watson,CHS,27,Indiana
0,1950,Art Burris,FTW,28,Tennessee
0,1950,Chuck Mrazovich,INO,29,Eastern Kentucky University
0,1950,Howie Williams,MNL,30,Purdue
0,1950,Stan Weber,NYK,31,Bowling Green
0,1950,Buddy Cate,PHW,32,Western Kentucky
0,1950,Bob Roper,ROC,33,John Carroll University
0,1950,Stan Christie,SYR,34,USC
0,1950,Clarence Brannum,TRI,35,Kansas State
0,1950,Alan Sawyer,WSC,36,UCLA
0,1950,Jerry Reed,BLB,37,Wyoming
0,1950,Ken Reeves,BOS,38,Louisville
0,1950,Ken Murray,CHS,39,St. Bonaventure
0,1950,Len Rzewszewski,FTW,40,Indiana State University
0,1950,Jim Line,INO,41,Kentucky
0,1950,Bud Grant,MNL,42,Minnesota
0,1950,Joe Ossola,NYK,43,Saint Louis
0,1950,Paul Sensky,PHW,44,Saint Joseph's
0,1950,Chet Giermak,ROC,45,William & Mary
0,1950,Paul Merchant,SYR,46,Oklahoma
0,1950,Paul Hicks,TRI,47,Eastern Kentucky University
0,1950,Tommy O'Keefe,WSC,48,Georgetown
0,1950,Norm Mager,BLB,49,City College of New York
0,1950,Jack Shelton,BOS,50,Oklahoma State
